sep=,
367,ETSY.OQ
368,HIG.N
369,ACGL.OQ
370,NDSN.OQ
371,VRSK.OQ
372,AMT.N
373,PYPL.OQ
374,CAG.N
375,UHS.N
376,TFX.N
377,SYF.N
378,WAT.N
379,INCY.OQ
380,LRCX.OQ
381,IDXX.OQ
382,PPG.N
383,LKQ.OQ
384,BG.N
385,HES.N
386,EOG.N
387,MAR.OQ
388,TJX.N
389,MNST.OQ
390,VMC.N
391,EW.N
392,ALL.N
393,BMY.N
394,APH.N
395,HON.OQ
396,GPC.N
397,MHK.N
398,MCHP.OQ
399,CAT.N
400,PG.N
401,ZTS.N
402,STE.N
403,BKR.OQ
404,AFL.N
405,CPB.N
406,PTC.OQ
407,FITB.OQ
408,MSI.N
409,XEL.OQ
410,HSIC.OQ
411,ITW.N
412,WST.N
413,DFS.N
414,APTV.N
415,MPC.N
416,PGR.N
417,ZION.OQ
418,ICE.N
419,KMB.N
420,SWKS.OQ
421,ABNB.OQ
422,EL.N
423,TSLA.OQ
424,EXR.N
425,SPGI.N
426,ADBE.OQ
427,ADSK.OQ
428,WRK.N
429,WHR.N
430,FOXA.OQ
431,TT.N
432,TSN.N
433,AKAM.OQ
434,LUV.N
435,INVH.N
436,TSCO.OQ
437,AON.N
438,AMZN.OQ
439,MS.N
440,BRKb.N
441,GOOG.OQ
442,KR.N
443,BKNG.OQ
444,STZ.N
445,WBD.OQ
446,ABBV.N
447,STLD.OQ
448,MA.N
449,XOM.N
450,SWK.N
451,FICO.N
452,HRL.N
453,INTC.OQ
454,TRMB.OQ
455,WBA.OQ
456,OMC.N
457,GLW.N
458,CRM.N
459,SBUX.OQ
460,ATO.N
461,ETR.N
462,HAL.N
463,TFC.N
464,TAP.N
465,ABT.N
466,V.N
467,YUM.N
468,LYV.N
469,JNPR.N
470,EG.N
471,FTNT.OQ
472,DTE.N
473,HST.OQ
474,IRM.N
475,PEAK.N
476,FIS.N
477,DAL.N
478,ROK.N
479,DOW.N
480,PPL.N
481,NTRS.OQ
482,VFC.N
483,ETN.N
484,CVX.N
485,CI.N
486,ACN.N
487,PANW.OQ
488,XYL.N
489,HAS.OQ
490,ENPH.OQ
491,SO.N
492,CTLT.N
493,EQT.N
494,NRG.N
495,MKTX.OQ
496,LMT.N
497,DLR.N
498,PSX.N
499,SCHW.N
500,SNPS.OQ
501,J.N
502,AVY.N
